Net_name,cc_0,cc_1,Obs,Org_Net_name
G1908,2,7,0,G1908
n370,1,2,5,n370
n371,6,8,1,n371
n372,8,3,4,n372
n373,9,3,4,n373
n374,5,6,7,n374
n375,3,3,10,n375
n376,3,3,9,n376
n377,6,5,7,n377
n378,3,2,10,n378
n379,14,1,11,n379
n380,1,12,13,n380
n381,2,2,23,n381
n382,12,1,12,n382
n383,2,2,11,n383
G26,1,1,18,G26
n384,4,11,3,n384
G1907,3,6,0,G1907
n385,6,1,2,n385
n386,8,2,1,n386
n387,2,1,6,n387
n388,4,7,2,n388
n389,1,6,2,n389
n390,12,2,4,n390
n391,7,2,4,n391
n392,4,6,5,n392
n393,2,1,10,n393
n394,1,1,7,n394
n395,3,1,11,n395
G30,1,1,8,G30
n396,11,2,2,n396
n397,2,11,2,n397
n398,7,1,15,n398
n399,6,2,7,n399
n400,6,2,7,n400
n401,4,4,9,n401
n402,2,2,11,n402
n403,2,2,11,n403
n404,4,4,9,n404
n405,2,1,7,n405
G22,1,1,8,G22
G1906,3,6,0,G1906
n406,6,1,2,n406
n407,8,2,1,n407
n408,2,1,6,n408
n409,4,7,2,n409
n410,1,6,2,n410
n411,7,2,4,n411
n412,12,2,4,n412
n413,2,11,2,n413
n414,7,1,15,n414
G29,1,1,8,G29
n415,4,6,5,n415
n416,2,1,10,n416
n417,3,1,11,n417
n418,11,2,2,n418
n419,2,1,7,n419
G21,1,1,8,G21
G1905,4,7,0,G1905
n420,12,2,2,n420
n421,7,2,2,n421
n422,5,6,3,n422
n423,2,1,8,n423
G1904,4,7,0,G1904
n424,7,2,2,n424
n425,7,6,3,n425
G1903,4,9,0,G1903
n426,9,2,2,n426
n427,8,8,3,n427
G1902,2,10,0,G1902
n428,9,7,1,n428
n429,1,18,7,n429
n430,6,9,2,n430
n431,9,6,2,n431
n432,12,1,10,n432
n433,6,8,3,n433
G25,1,1,15,G25
G1901,2,6,0,G1901
n434,5,8,1,n434
n435,8,4,2,n435
n436,17,1,5,n436
n437,1,13,9,n437
n438,7,4,16,n438
n439,13,1,9,n439
n440,4,7,3,n440
n441,1,2,19,n441
G1900,4,1,0,G1900
n442,1,3,1,n442
n443,12,1,3,n443
G32,1,1,6,G32
G33,1,1,3,G33
n444,2,13,2,n444
n445,2,2,13,n445
n446,11,2,4,n446
n447,2,2,13,n447
n448,2,9,6,n448
n449,2,1,14,n449
n450,2,1,14,n450
G1899,2,2,0,G1899
n451,1,2,1,n451
n452,1,16,1,n452
G14,1,1,2,G14
n453,15,1,2,n453
n454,1,15,2,n454
n455,1,1,2,n455
G1898,2,2,0,G1898
n456,1,2,1,n456
n457,1,16,1,n457
G13,1,1,2,G13
n458,1,1,2,n458
G1897,2,2,0,G1897
n459,1,2,1,n459
n460,1,16,1,n460
G12,1,1,2,G12
n461,1,1,2,n461
G1896,2,2,0,G1896
n462,1,2,1,n462
n463,1,16,1,n463
G11,1,1,2,G11
n464,1,1,2,n464
n465,1,11,6,n465
