Net_name,cc0,cc1
G2549,1,1,G2549
G115,1,1,G115
G2594,23,2,G2594
G2593,23,2,G2593
G2585,22,1,G2585
G2584,22,1,G2584
G2555,8,1,G2555
G2554,8,1,G2554
G2533,1,1,G2533
G2531,1,1,G2531
G2532,1,1,G2532
G2589,2,4,G2589
G2588,2,4,G2588
G2579,2,5,G2579
G2578,2,5,G2578
G2574,2,4,G2574
G2573,2,4,G2573
G2576,2,4,G2576
G2575,2,4,G2575
G2535,1,1,G2535
G2534,1,1,G2534
G2538,1,1,G2538
G2536,1,1,G2536
G2537,1,1,G2537
G2592,1,1,G2592
1'b0,1,1,1'b0
n468,1,1,n468
G120,1,1,G120
n462,1,1,n462
G123,1,1,G123
G124,1,1,G124
G137,1,1,G137
G2551,2,1,G2551
G121,1,1,G121
G7,1,1,G7
n471,1,2,n471
G117,1,1,G117
n403,3,1,n403
G38,1,1,G38
n472,1,2,n472
n402,3,1,n402
G48,1,1,G48
n407,2,3,n407
n475,1,2,n475
n405,3,1,n405
G70,1,1,G70
n476,1,2,n476
n404,3,1,n404
G59,1,1,G59
n406,2,3,n406
G2562,3,4,G2562
G2567,4,3,G2567
n409,3,1,n409
G37,1,1,G37
n408,3,1,n408
G47,1,1,G47
n413,2,3,n413
n411,3,1,n411
G69,1,1,G69
n410,3,1,n410
G58,1,1,G58
n412,2,3,n412
G2561,3,4,G2561
G2568,4,3,G2568
n415,3,1,n415
G65,1,1,G65
n414,3,1,n414
G54,1,1,G54
n419,2,3,n419
n417,3,1,n417
G33,1,1,G33
n416,3,1,n416
G44,1,1,G44
n418,2,3,n418
n607,3,4,n607
G2572,4,3,G2572
n421,3,1,n421
G36,1,1,G36
n420,3,1,n420
G46,1,1,G46
n425,2,3,n425
n423,3,1,n423
G68,1,1,G68
n422,3,1,n422
G57,1,1,G57
n424,2,3,n424
G2560,3,4,G2560
G2569,4,3,G2569
G2539,1,1,G2539
G32,1,1,G32
G2540,1,1,G2540
G106,1,1,G106
G2542,1,1,G2542
G76,1,1,G76
G2541,1,1,G2541
G64,1,1,G64
G2543,1,1,G2543
G53,1,1,G53
G2545,1,1,G2545
G43,1,1,G43
G2544,1,1,G2544
G96,1,1,G96
G2546,1,1,G2546
G86,1,1,G86
G2550,1,2,G2550
G74,1,1,G74
n427,3,1,n427
G31,1,1,G31
n426,3,1,n426
G42,1,1,G42
n431,2,3,n431
n429,3,1,n429
G63,1,1,G63
n428,3,1,n428
G52,1,1,G52
n430,2,3,n430
n668,3,4,n668
G2563,5,1,G2563
G122,1,1,G122
n433,3,1,n433
G40,1,1,G40
n432,3,1,n432
G50,1,1,G50
n437,2,3,n437
n435,3,1,n435
G72,1,1,G72
n434,3,1,n434
G61,1,1,G61
n436,2,3,n436
n677,3,4,n677
n438,1,1,n438
n439,2,1,n439
G118,1,1,G118
G2577,5,2,G2577
n441,3,1,n441
G73,1,1,G73
n440,3,1,n440
G62,1,1,G62
n445,2,3,n445
n443,3,1,n443
G41,1,1,G41
n442,3,1,n442
G51,1,1,G51
n444,2,3,n444
n481,3,4,n481
n446,5,1,n446
n447,4,5,n447
n448,1,5,n448
G2586,8,4,G2586
n450,1,2,n450
G141,1,1,G141
G142,1,1,G142
n449,1,2,n449
G140,1,1,G140
G139,1,1,G139
G2547,4,1,G2547
n451,1,2,n451
G2553,3,1,G2553
G147,1,1,G147
G2552,3,1,G2552
G119,1,1,G119
n453,3,1,n453
G71,1,1,G71
n452,3,1,n452
G60,1,1,G60
n457,2,3,n457
n455,3,1,n455
G39,1,1,G39
n454,3,1,n454
G49,1,1,G49
n456,2,3,n456
G2566,4,3,G2566
n459,5,1,n459
n458,4,1,n458
n461,5,1,n461
n460,4,1,n460
n464,5,1,n464
n556,4,3,n556
n488,1,5,n488
n463,6,1,n463
n466,3,1,n466
G35,1,1,G35
n465,2,1,n465
G67,1,1,G67
n467,2,2,n467
n470,2,3,n470
n469,2,1,n469
