UncoveredTrigger ID:
2: n647, n661, 
9: n490, n585, 
15: n590, n647, 
20: n490, n705, 
25: n645, n661, 
52: n490, n683, 
57: n601, n758, 
59: n490, n618, 
61: n490, n619, 
66: n708, n758, 
69: n709, n757, 
73: n605, n702, 
84: n601, n762, 
94: n484, n645, 
101: n605, n645, 
108: n484, n590, 
109: n758, n762, 
111: n487, n590, 
119: n758, n759, 
123: n709, n758, 
132: n703, n762, 
140: n590, n758, 
164: n590, n709, 
166: n490, n561, 
170: n490, n760, 
175: n601, n709, 
178: n590, n762, 
207: n490, n760, 
208: n643, n661, 
229: n661, n757, 
231: n561, n762, 
239: n703, n709, 
248: n703, n762, 
249: n490, n679, 
251: n561, n762, 
260: n618, n757, 
268: n561, n762, 
271: n758, n761, 
283: n561, n661, 
287: n561, n643, 
313: n484, n645, 
320: n618, n758, 
324: n487, n661, 
327: n490, n762, 
333: n661, n708, 
341: n585, n645, 
350: n601, n757, 
361: n757, n762, 
362: n647, n661, 
364: n601, n703, 
366: n490, n762, 
368: n583, n708, 
370: n490, n561, 
372: n647, n708, 
374: n490, n645, 
395: n490, n703, 
396: n758, n761, 
399: n487, n661, 
406: n647, n703, 
410: n645, n661, 
411: n583, n757, 
412: n583, n645, 
414: n490, n585, 
425: n645, n757, 
430: n561, n762, 
431: n490, n684, 
432: n487, n601, 
438: n641, n661, 
440: n590, n647, 
460: n490, n561, 
466: n645, n708, 
476: n703, n761, 
477: n645, n758, 
482: n703, n760, 
484: n601, n647, 
517: n490, n760, 
518: n490, n613, 
526: n561, n647, 
533: n561, n749, 
535: n758, n762, 
547: n645, n708, 
560: n490, n761, 
565: n757, n761, 
575: n645, n661, 
589: n645, n709, 
594: n490, n705, 
604: n618, n661, 
605: n590, n645, 
