Net_name,cc_0,cc_1,Obs,Org_Net_name
n484,12,14,14,n484
n485,16,14,12,n485
n487,18,17,9,n487
n708,26,23,3,n708
n489,27,24,2,n489
n490,25,1,1,n490
n601,1,14,9,n601
n561,1,11,33,n561
n585,3,10,21,n585
n583,1,11,22,n583
n590,11,1,19,n590
n605,1,11,7,n605
n613,10,4,3,n613
n615,5,10,2,n615
n619,11,5,1,n619
n618,11,1,5,n618
n641,17,4,36,n641
n643,4,18,35,n643
n645,26,4,27,n645
n647,4,31,22,n647
n661,15,1,22,n661
n679,13,4,28,n679
n681,4,18,23,n681
n683,23,4,18,n683
n684,4,27,14,n684
n704,37,1,4,n704
n700,10,2,13,n700
n702,2,18,5,n702
n703,19,1,4,n703
n705,2,19,3,n705
n709,34,29,1,n709
n740,9,10,19,n740
n744,15,16,13,n744
n748,21,22,7,n748
n749,27,28,1,n749
n757,8,8,3,n757
n758,10,10,1,n758
n759,8,18,5,n759
n760,19,8,4,n760
n761,2,21,2,n761
n762,2,22,1,n762
