Net_name,cc_0,cc_1,Obs,Org_Net_name
G2549,1,1,0,G2549
G115,1,1,0,G115
G2594,23,2,0,G2594
G2593,23,2,0,G2593
G2585,22,1,0,G2585
G2584,22,1,0,G2584
G2555,8,1,0,G2555
G2554,8,1,0,G2554
G2533,1,1,0,G2533
G2531,1,1,0,G2531
G2532,1,1,0,G2532
G2589,2,4,0,G2589
G2588,2,4,0,G2588
G2579,2,5,0,G2579
G2578,2,5,0,G2578
G2574,2,4,0,G2574
G2573,2,4,0,G2573
G2576,2,4,0,G2576
G2575,2,4,0,G2575
G2535,1,1,0,G2535
G2534,1,1,0,G2534
G2538,1,1,0,G2538
G2536,1,1,0,G2536
G2537,1,1,0,G2537
G2592,1,1,0,G2592
1'b0,1,1,0,1'b0
n468,1,1,4,n468
G120,1,1,4,G120
n462,1,1,4,n462
G123,1,1,4,G123
G124,1,1,0,G124
G137,1,1,0,G137
G2551,2,1,0,G2551
G121,1,1,1,G121
G7,1,1,1,G7
n471,1,2,4,n471
G117,1,1,4,G117
n403,3,1,3,n403
G38,1,1,5,G38
n472,1,2,3,n472
n402,3,1,3,n402
G48,1,1,5,G48
n407,2,3,2,n407
n475,1,2,4,n475
n405,3,1,3,n405
G70,1,1,5,G70
n476,1,2,4,n476
n404,3,1,3,n404
G59,1,1,5,G59
n406,2,3,2,n406
G2562,3,4,0,G2562
G2567,4,3,0,G2567
n409,3,1,3,n409
G37,1,1,5,G37
n408,3,1,3,n408
G47,1,1,5,G47
n413,2,3,2,n413
n411,3,1,3,n411
G69,1,1,5,G69
n410,3,1,3,n410
G58,1,1,5,G58
n412,2,3,2,n412
G2561,3,4,0,G2561
G2568,4,3,0,G2568
n415,3,1,3,n415
G65,1,1,5,G65
n414,3,1,3,n414
G54,1,1,5,G54
n419,2,3,2,n419
n417,3,1,3,n417
G33,1,1,5,G33
n416,3,1,3,n416
G44,1,1,5,G44
n418,2,3,2,n418
n607,3,4,0,n607
G2572,4,3,0,G2572
n421,3,1,3,n421
G36,1,1,5,G36
n420,3,1,3,n420
G46,1,1,5,G46
n425,2,3,2,n425
n423,3,1,3,n423
G68,1,1,5,G68
n422,3,1,3,n422
G57,1,1,5,G57
n424,2,3,2,n424
G2560,3,4,0,G2560
G2569,4,3,0,G2569
G2539,1,1,0,G2539
G32,1,1,0,G32
G2540,1,1,0,G2540
G106,1,1,0,G106
G2542,1,1,0,G2542
G76,1,1,0,G76
G2541,1,1,0,G2541
G64,1,1,0,G64
G2543,1,1,0,G2543
G53,1,1,0,G53
G2545,1,1,0,G2545
G43,1,1,0,G43
G2544,1,1,0,G2544
G96,1,1,0,G96
G2546,1,1,0,G2546
G86,1,1,0,G86
G2550,1,2,0,G2550
G74,1,1,1,G74
n427,3,1,4,n427
G31,1,1,6,G31
n426,3,1,4,n426
G42,1,1,6,G42
n431,2,3,3,n431
n429,3,1,4,n429
G63,1,1,6,G63
n428,3,1,4,n428
G52,1,1,6,G52
n430,2,3,3,n430
n668,3,4,1,n668
G2563,5,1,0,G2563
G122,1,1,4,G122
n433,3,1,4,n433
G40,1,1,6,G40
n432,3,1,4,n432
G50,1,1,6,G50
n437,2,3,3,n437
n435,3,1,4,n435
G72,1,1,6,G72
n434,3,1,4,n434
G61,1,1,6,G61
n436,2,3,3,n436
n677,3,4,1,n677
n438,1,1,5,n438
n439,2,1,4,n439
G118,1,1,5,G118
G2577,5,2,0,G2577
n441,3,1,4,n441
G73,1,1,6,G73
n440,3,1,4,n440
G62,1,1,6,G62
n445,2,3,3,n445
n443,3,1,4,n443
G41,1,1,6,G41
n442,3,1,4,n442
G51,1,1,6,G51
n444,2,3,3,n444
n481,3,4,1,n481
n446,5,1,7,n446
n447,4,5,4,n447
n448,1,5,3,n448
G2586,8,4,0,G2586
n450,1,2,2,n450
G141,1,1,3,G141
G142,1,1,3,G142
n449,1,2,2,n449
G140,1,1,3,G140
G139,1,1,3,G139
G2547,4,1,0,G2547
n451,1,2,1,n451
G2553,3,1,0,G2553
G147,1,1,2,G147
G2552,3,1,0,G2552
G119,1,1,2,G119
n453,3,1,3,n453
G71,1,1,5,G71
n452,3,1,3,n452
G60,1,1,5,G60
n457,2,3,2,n457
n455,3,1,3,n455
G39,1,1,5,G39
n454,3,1,3,n454
G49,1,1,5,G49
n456,2,3,2,n456
G2566,4,3,0,G2566
n459,5,1,1,n459
n458,4,1,1,n458
n461,5,1,1,n461
n460,4,1,1,n460
n464,5,1,1,n464
n556,4,3,3,n556
n488,1,5,2,n488
n463,6,1,1,n463
n466,3,1,3,n466
G35,1,1,5,G35
n465,2,1,3,n465
G67,1,1,4,G67
n467,2,2,2,n467
n470,2,3,1,n470
n469,2,1,3,n469
G56,1,1,4,G56
G2570,4,2,0,G2570
n474,3,1,3,n474
G34,1,1,5,G34
n473,3,1,3,n473
G45,1,1,5,G45
n480,2,3,2,n480
n478,3,1,3,n478
G66,1,1,5,G66
n477,3,1,3,n477
G55,1,1,5,G55
n479,2,3,2,n479
G2571,4,3,0,G2571
n491,4,1,1,n491
n483,8,6,20,n483
n482,8,6,20,n482
n484,12,14,14,n484
n485,16,14,12,n485
n487,18,17,9,n487
n486,6,8,20,n486
n708,26,23,3,n708
n489,27,24,2,n489
n490,25,1,1,n490
n492,1,2,1,n492
G2,1,1,2,G2
G11,1,1,2,G11
G2548,3,1,0,G2548
n730,1,2,4,n730
G146,1,1,5,G146
G145,1,1,5,G145
n494,3,1,5,n494
G107,1,1,7,G107
n495,1,1,5,n495
n731,1,2,4,n731
n493,3,1,5,n493
G77,1,1,7,G77
n499,2,3,4,n499
n726,1,2,4,n726
n497,3,1,5,n497
G97,1,1,7,G97
n727,1,2,4,n727
n496,3,1,5,n496
G87,1,1,7,G87
n498,2,3,4,n498
n742,3,4,2,n742
n500,4,4,1,n500
G143,1,1,4,G143
G2580,5,1,0,G2580
G144,1,1,4,G144
n502,1,2,4,n502
n501,1,2,4,n501
n506,4,1,2,n506
n504,1,2,4,n504
n503,1,2,4,n503
n505,4,1,2,n505
n508,2,1,1,n508
n507,2,1,1,n507
G2556,2,2,0,G2556
n509,1,3,2,n509
n764,1,4,1,n764
G116,1,1,4,G116
G2564,5,1,0,G2564
G28,1,1,4,G28
n511,3,1,3,n511
G110,1,1,5,G110
n510,3,1,3,n510
G80,1,1,5,G80
n515,2,3,2,n515
n513,3,1,3,n513
G100,1,1,5,G100
n512,3,1,3,n512
G90,1,1,5,G90
n514,2,3,2,n514
G2559,3,4,0,G2559
n517,3,1,3,n517
G109,1,1,5,G109
n516,3,1,3,n516
G79,1,1,5,G79
n521,2,3,2,n521
n519,3,1,3,n519
G99,1,1,5,G99
n518,3,1,3,n518
G89,1,1,5,G89
n520,2,3,2,n520
G2557,3,4,0,G2557
n523,3,1,15,n523
G112,1,1,17,G112
n522,3,1,15,n522
G82,1,1,17,G82
n527,2,3,14,n527
n525,3,1,15,n525
G102,1,1,17,G102
n524,3,1,15,n524
G92,1,1,17,G92
n526,2,3,14,n526
n737,3,4,12,n737
n632,4,1,18,n632
G138,1,1,7,G138
n529,3,1,17,n529
G113,1,1,19,G113
n528,3,1,17,n528
G83,1,1,19,G83
n533,2,3,16,n533
n531,3,1,17,n531
G103,1,1,19,G103
n530,3,1,17,n530
G93,1,1,19,G93
n532,2,3,16,n532
n746,3,4,14,n746
n712,1,1,9,n712
G136,1,1,9,G136
n534,5,1,18,n534
n535,2,4,17,n535
n547,1,4,15,n547
G127,1,1,18,G127
n545,5,1,11,n545
