0.--n643(val: 1, idx: 348)--n761(val: 1, idx: 399)--n606(idx: 422);
1.--n484(val: 1, idx: 322)--n618(val: 0, idx: 329)--n643(idx: 348);
2.--n643(val: 1, idx: 348)--n683(val: 0, idx: 376)--n761(idx: 399);
3.--n487(val: 0, idx: 352)--n647(val: 1, idx: 375)--n706(idx: 388);
4.--n484(val: 1, idx: 322)--n590(val: 0, idx: 360)--n562(idx: 392);
5.--n601(val: 1, idx: 367)--n645(val: 0, idx: 363)--n562(idx: 392);
6.--n647(val: 1, idx: 375)--n661(val: 0, idx: 240)--G2594(idx: 406);
7.--n487(val: 0, idx: 352)--n605(val: 1, idx: 346)--n560(idx: 387);
8.--n702(val: 1, idx: 241)--n709(val: 0, idx: 384)--n587(idx: 412);
9.--n590(val: 0, idx: 360)--n703(val: 0, idx: 287)--n681(idx: 364);
10.--n615(val: 1, idx: 425)--n661(val: 0, idx: 240)--n619(idx: 426);
11.--n601(val: 1, idx: 367)--n615(val: 1, idx: 425)--G2591(idx: 427);
12.--n605(val: 1, idx: 346)--n683(val: 0, idx: 376)--n568(idx: 404);
13.--n748(val: 1, idx: 350)--n749(val: 1, idx: 365)--n705(idx: 394);
14.--n744(val: 1, idx: 334)--n761(val: 1, idx: 399)--n596(idx: 418);
15.--n585(val: 1, idx: 413)--n749(val: 1, idx: 365)--n594(idx: 417);
16.--n709(val: 0, idx: 384)--n740(val: 1, idx: 317)--n606(idx: 422);
17.--n643(val: 1, idx: 348)--n708(val: 0, idx: 366)--n489(idx: 378);
18.--n615(val: 1, idx: 425)--n758(val: 1, idx: 219)--G2591(idx: 427);
19.--n485(val: 0, idx: 339)--n758(val: 1, idx: 219)--n681(idx: 364);
20.--n490(val: 0, idx: 385)--n585(val: 1, idx: 413)--n594(idx: 417);
21.--n601(val: 1, idx: 367)--n759(val: 1, idx: 244)--n489(idx: 378);
22.--n705(val: 1, idx: 394)--n709(val: 0, idx: 384)--n585(idx: 413);
23.--n619(val: 0, idx: 426)--n679(val: 0, idx: 349)--G2591(idx: 427);
24.--n618(val: 0, idx: 329)--n702(val: 1, idx: 241)--G2578(idx: 338);
25.--n703(val: 0, idx: 287)--n744(val: 1, idx: 334)--n748(idx: 350);
26.--n583(val: 1, idx: 373)--n740(val: 1, idx: 317)--G2588(idx: 391);
27.--n613(val: 0, idx: 424)--n703(val: 0, idx: 287)--n619(idx: 426);
28.--n590(val: 0, idx: 360)--n647(val: 1, idx: 375)--G2591(idx: 427);
29.--n681(val: 1, idx: 364)--n748(val: 1, idx: 350)--n597(idx: 416);
30.--n601(val: 1, idx: 367)--n643(val: 1, idx: 348)--G2588(idx: 391);
31.--n489(val: 0, idx: 378)--n585(val: 1, idx: 413)--n619(idx: 426);
32.--n615(val: 1, idx: 425)--n708(val: 0, idx: 366)--G2591(idx: 427);
33.--n489(val: 0, idx: 378)--n760(val: 0, idx: 395)--G2585(idx: 400);
