DFF_0_N3 n141,CONFLICT,NA;
DFF_10_N3 n145,SATISFIED,XX01XXXXXXXXXXXXXXXXXXXXXXXX01XXXXXXX1;
n143 n154,SATISFIED,XXX1XXXXXXXXXXXXXXXXX11111X11X11111111;
DFF_10_N3 DFF_6_N3,SATISFIED,XX01XXXXXXXXXXXXXXXXXXXX0XXXXXXXX1XXX1;
DFF_10_N3 n150,CONFLICT,NA;
n141 n150,SATISFIED,XXX1XXXXXXXXXXXXXXXXX11111X11X111111X1;
DFF_12_N3 n158,SATISFIED,XX01XXXXXXXXXXXXXXXXX1XX110XX11X111XXX;
DFF_8_N3 n156,SATISFIED,XX01XXXXXXXXXXXXXXXXX1XX11X0XX111X1XXX;
n145 n161,SATISFIED,XXX1XXXXXXXXXXXXXXXXXXX0XXXXX1XXXXX1XX;
n141 n161,CONFLICT,NA;
DFF_10_N3 n141,CONFLICT,NA;
DFF_10_N3 n143,CONFLICT,NA;
n141 n152,SATISFIED,XXX1XXXXXXXXXXXXXXXXX11111X11X111111X1;
DFF_8_N3 n148,SATISFIED,XX01XXXXXXXXXXXXXXXXX1X111X01X111111XX;
n145 n154,SATISFIED,XXX1XXXXXXXXXXXXXXXXX1XXX10XX11X1X1XXX;
n144 n145,SATISFIED,XXX1XXXXXXXXXXXXXXXXX11111111011111111;
DFF_0_N3 n153,SATISFIED,XX01XXXXXXXXXXXXXXXXXXXXX0XXXXX11XXXXX;
n143 n152,SATISFIED,XXX1XXXXXXXXXXXXXXXXX11111X11X11111111;
n139 n152,SATISFIED,XXX1XXXXXXXXXXXXXXXXX1X111X11X111111X1;
n143 n161,CONFLICT,NA;
n144 n153,CONFLICT,NA;
n154 n158,SATISFIED,XXX1XXXXXXXXXXXXXXXXX1XX11XXXX1X111XXX;
DFF_12_N3 n150,SATISFIED,XX01XXXXXXXXXXXXXXXXX1X1110X111X1111X1;
DFF_0_N3 n149,SATISFIED,XX01XXXXXXXXXXXXXXXXXXXXX0XXXXXX1XXXX1;
n149 n157,SATISFIED,XXX1XXXXXXXXXXXXXXXXXXXX0XXXXXXXX1XXX1;
