,X,0,1,eclud_sqrt,PI
21,10.0,2.0,7.0,7.280109889280518,DFF_5_Q_reg
26,12.0,1.0,6.0,6.082762530298219,DFF_11_Q_reg
25,13.0,2.0,4.0,4.47213595499958,DFF_9_Q_reg
20,14.0,2.0,3.0,3.605551275463989,DFF_15_Q_reg
24,16.0,2.0,1.0,2.23606797749979,DFF_13_Q_reg
0,15.0,4.0,,,RST
1,,,19.0,,CLK
2,19.0,,,,C_0
3,19.0,,,,C_1
4,19.0,,,,C_10
5,19.0,,,,C_11
6,19.0,,,,C_12
7,19.0,,,,C_13
8,19.0,,,,C_14
9,19.0,,,,C_15
10,19.0,,,,C_16
11,19.0,,,,C_2
12,19.0,,,,C_3
13,19.0,,,,C_4
14,19.0,,,,C_5
15,19.0,,,,C_6
16,19.0,,,,C_7
17,19.0,,,,C_8
18,19.0,,,,C_9
19,9.0,,10.0,,P_0
22,10.0,,9.0,,DFF_7_Q_reg
23,9.0,,10.0,,DFF_1_Q_reg
27,17.0,,2.0,,DFF_12_Q_reg
28,9.0,,10.0,,DFF_2_Q_reg
29,14.0,,5.0,,DFF_8_Q_reg
30,9.0,,10.0,,DFF_0_Q_reg
31,11.0,,8.0,,DFF_6_Q_reg
32,9.0,,10.0,,DFF_3_Q_reg
33,11.0,,8.0,,DFF_4_Q_reg
34,15.0,,4.0,,DFF_14_Q_reg
35,13.0,,6.0,,DFF_10_Q_reg
