Net_name,cc_0,cc_1,Obs,Org_Net_name
DFF_12_N3,1,18,0,DFF_12_N3
DFF_8_N3,1,14,0,DFF_8_N3
DFF_0_N3,1,6,0,DFF_0_N3
DFF_6_N3,1,8,0,DFF_6_N3
DFF_4_N3,1,10,0,DFF_4_N3
DFF_14_N3,1,16,0,DFF_14_N3
DFF_10_N3,1,12,0,DFF_10_N3
n154,5,1,2,n154
n156,1,6,2,n156
n158,7,1,2,n158
n160,1,8,2,n160
n146,9,1,2,n146
n148,1,10,2,n148
n150,11,1,2,n150
n152,1,12,2,n152
n139,13,1,2,n139
n141,1,14,2,n141
n140,15,2,1,n140
n143,15,1,2,n143
n144,1,16,2,n144
n145,17,2,1,n145
n149,11,2,1,n149
n153,13,2,1,n153
n157,7,2,1,n157
n161,9,2,1,n161
n168,5,2,1,n168
