Net_name,cc_0,cc_1,Obs,Org_Net_name
X_13,1,1,2,X_13
n175,1,1,15,n175
DFF_15_N3,1,3,0,DFF_15_N3
CLK,1,1,0,CLK
X_7,1,1,2,X_7
n174,1,1,9,n174
DFF_5_N3,1,3,0,DFF_5_N3
X_5,1,1,2,X_5
n173,1,1,7,n173
DFF_7_N3,1,3,0,DFF_7_N3
X_3,1,1,2,X_3
n172,1,1,5,n172
DFF_1_N3,1,3,0,DFF_1_N3
X_15,1,1,2,X_15
n171,1,1,17,n171
DFF_13_N3,1,3,0,DFF_13_N3
X_11,1,1,2,X_11
n170,1,1,13,n170
DFF_9_N3,1,3,0,DFF_9_N3
X_9,1,1,2,X_9
n169,1,1,11,n169
DFF_11_N3,1,3,0,DFF_11_N3
X_16,1,1,2,X_16
DFF_12_N3,1,18,0,DFF_12_N3
X_2,1,1,2,X_2
DFF_2_N3,1,4,0,DFF_2_N3
X_12,1,1,2,X_12
DFF_8_N3,1,14,0,DFF_8_N3
X_4,1,1,2,X_4
DFF_0_N3,1,6,0,DFF_0_N3
X_6,1,1,2,X_6
DFF_6_N3,1,8,0,DFF_6_N3
X_1,1,1,2,X_1
DFF_3_N3,1,3,0,DFF_3_N3
X_8,1,1,2,X_8
DFF_4_N3,1,10,0,DFF_4_N3
X_14,1,1,2,X_14
DFF_14_N3,1,16,0,DFF_14_N3
X_10,1,1,2,X_10
DFF_10_N3,1,12,0,DFF_10_N3
n91,1,2,19,n91
C_9,1,1,20,C_9
n112,1,2,18,n112
n92,1,2,23,n92
C_11,1,1,24,C_11
n107,1,2,22,n107
n93,1,2,31,n93
C_15,1,1,32,C_15
n96,1,2,30,n96
n94,2,1,32,n94
C_16,1,1,33,C_16
n95,2,1,31,n95
n98,3,1,29,n98
n97,2,1,29,n97
C_14,1,1,30,C_14
n99,2,2,28,n99
n101,1,3,27,n101
n100,1,2,27,n100
C_13,1,1,28,C_13
n102,2,2,26,n102
n104,1,3,25,n104
n103,1,2,25,n103
C_12,1,1,26,C_12
n105,2,2,24,n105
n106,3,1,23,n106
n109,3,1,21,n109
n108,2,1,21,n108
C_10,1,1,22,C_10
n110,2,2,20,n110
n111,3,1,19,n111
n114,3,1,17,n114
n113,2,1,17,n113
C_8,1,1,18,C_8
n115,2,2,16,n115
n117,1,3,15,n117
n116,1,2,15,n116
C_7,1,1,16,C_7
n118,2,2,14,n118
n120,1,3,13,n120
n119,1,2,13,n119
C_6,1,1,14,C_6
n121,2,2,12,n121
n123,1,3,11,n123
n122,1,2,11,n122
C_5,1,1,12,C_5
n124,2,2,10,n124
n126,1,3,9,n126
n125,1,2,9,n125
C_4,1,1,10,C_4
n127,2,2,8,n127
n129,1,3,7,n129
n128,1,2,7,n128
C_3,1,1,8,C_3
n130,2,2,6,n130
n132,1,3,5,n132
n131,1,2,5,n131
C_2,1,1,6,C_2
n133,2,2,4,n133
n134,1,3,3,n134
n136,1,2,2,n136
C_0,1,1,3,C_0
n135,2,1,3,n135
C_1,1,1,4,C_1
n137,3,1,1,n137
Z,1,2,0,Z
P_0,1,1,1,P_0
n163,1,2,2,n163
n165,3,1,2,n165
n167,1,4,2,n167
n154,5,1,2,n154
n156,1,6,2,n156
n158,7,1,2,n158
n160,1,8,2,n160
n146,9,1,2,n146
n148,1,10,2,n148
n150,11,1,2,n150
n152,1,12,2,n152
n139,13,1,2,n139
n138,2,2,1,n138
RST,1,1,2,RST
n141,1,14,2,n141
n140,15,2,1,n140
n143,15,1,2,n143
n142,2,2,1,n142
n144,1,16,2,n144
n145,17,2,1,n145
n147,2,2,1,n147
n149,11,2,1,n149
n151,2,2,1,n151
n153,13,2,1,n153
n155,2,2,1,n155
n157,7,2,1,n157
n159,2,2,1,n159
n161,9,2,1,n161
n162,2,2,1,n162
n164,3,2,1,n164
n166,2,2,1,n166
n168,5,2,1,n168
