0.--DFF_0_N3(val: 1, idx: 37)--n141(val: 1, idx: 68)--DFF_14_N3(idx: 75);
1.--DFF_10_N3(val: 1, idx: 60)--n145(val: 0, idx: 80)--n134(idx: 92);
2.--n143(val: 0, idx: 73)--n154(val: 0, idx: 31)--n126(idx: 86);
3.--DFF_10_N3(val: 1, idx: 60)--DFF_6_N3(val: 1, idx: 44)--n127(idx: 87);
4.--DFF_10_N3(val: 1, idx: 60)--n150(val: 0, idx: 55)--n118(idx: 78);
5.--n141(val: 1, idx: 68)--n150(val: 0, idx: 55)--n123(idx: 84);
6.--DFF_12_N3(val: 1, idx: 82)--n158(val: 0, idx: 39)--n136(idx: 93);
7.--DFF_8_N3(val: 1, idx: 69)--n156(val: 1, idx: 35)--DFF_14_N3(idx: 75);
8.--n145(val: 0, idx: 80)--n161(val: 0, idx: 49)--n132(idx: 90);
9.--n141(val: 1, idx: 68)--n161(val: 0, idx: 49)--DFF_13_N3(idx: 79);
10.--DFF_10_N3(val: 1, idx: 60)--n141(val: 1, idx: 68)--n130(idx: 89);
11.--DFF_10_N3(val: 1, idx: 60)--n143(val: 0, idx: 73)--DFF_13_N3(idx: 79);
12.--n141(val: 1, idx: 68)--n152(val: 1, idx: 59)--n123(idx: 84);
13.--DFF_8_N3(val: 1, idx: 69)--n148(val: 1, idx: 51)--n140(idx: 72);
14.--n145(val: 0, idx: 80)--n154(val: 0, idx: 31)--n130(idx: 89);
15.--n144(val: 1, idx: 77)--n145(val: 0, idx: 80)--n124(idx: 85);
16.--DFF_0_N3(val: 1, idx: 37)--n153(val: 0, idx: 65)--n117(idx: 74);
17.--n143(val: 0, idx: 73)--n152(val: 1, idx: 59)--Z(idx: 95);
18.--n139(val: 0, idx: 63)--n152(val: 1, idx: 59)--n117(idx: 74);
19.--n143(val: 0, idx: 73)--n161(val: 0, idx: 49)--DFF_12_N3(idx: 82);
20.--n144(val: 1, idx: 77)--n153(val: 0, idx: 65)--n120(idx: 81);
21.--n154(val: 0, idx: 31)--n158(val: 0, idx: 39)--n117(idx: 74);
22.--DFF_12_N3(val: 1, idx: 82)--n150(val: 0, idx: 55)--n137(idx: 94);
23.--DFF_0_N3(val: 1, idx: 37)--n149(val: 0, idx: 57)--n144(idx: 77);
24.--n149(val: 0, idx: 57)--n157(val: 0, idx: 41)--n110(idx: 58);
25.--n143(val: 0, idx: 73)--n156(val: 1, idx: 35)--n126(idx: 86);
26.--DFF_12_N3(val: 1, idx: 82)--n144(val: 1, idx: 77)--n137(idx: 94);
27.--n153(val: 0, idx: 65)--n161(val: 0, idx: 49)--n117(idx: 74);
28.--DFF_12_N3(val: 1, idx: 82)--n144(val: 1, idx: 77)--n124(idx: 85);
29.--DFF_0_N3(val: 1, idx: 37)--n145(val: 0, idx: 80)--n137(idx: 94);
30.--DFF_0_N3(val: 1, idx: 37)--n146(val: 0, idx: 47)--n117(idx: 74);
31.--n140(val: 0, idx: 72)--n157(val: 0, idx: 41)--n133(idx: 91);
32.--DFF_12_N3(val: 1, idx: 82)--n154(val: 0, idx: 31)--n123(idx: 84);
33.--DFF_10_N3(val: 1, idx: 60)--n146(val: 0, idx: 47)--n121(idx: 83);
34.--n141(val: 1, idx: 68)--n150(val: 0, idx: 55)--n127(idx: 87);
35.--DFF_8_N3(val: 1, idx: 69)--n149(val: 0, idx: 57)--n130(idx: 89);
36.--DFF_14_N3(val: 1, idx: 75)--n143(val: 0, idx: 73)--Z(idx: 95);
37.--n140(val: 0, idx: 72)--n154(val: 0, idx: 31)--n118(idx: 78);
38.--n146(val: 0, idx: 47)--n160(val: 1, idx: 43)--n150(idx: 55);
39.--DFF_0_N3(val: 1, idx: 37)--n148(val: 1, idx: 51)--n109(idx: 54);
40.--n143(val: 0, idx: 73)--n160(val: 1, idx: 43)--n129(idx: 88);
41.--DFF_12_N3(val: 1, idx: 82)--n139(val: 0, idx: 63)--n137(idx: 94);
42.--DFF_10_N3(val: 1, idx: 60)--DFF_6_N3(val: 1, idx: 44)--n140(idx: 72);
43.--DFF_4_N3(val: 1, idx: 53)--n144(val: 1, idx: 77)--n118(idx: 78);
44.--DFF_12_N3(val: 1, idx: 82)--DFF_14_N3(val: 1, idx: 75)--n123(idx: 84);
45.--DFF_12_N3(val: 1, idx: 82)--n148(val: 1, idx: 51)--Z(idx: 95);
46.--n156(val: 1, idx: 35)--n161(val: 0, idx: 49)--n106(idx: 50);
47.--n150(val: 0, idx: 55)--n156(val: 1, idx: 35)--n120(idx: 81);
48.--n144(val: 1, idx: 77)--n148(val: 1, idx: 51)--n134(idx: 92);
49.--DFF_4_N3(val: 1, idx: 53)--n144(val: 1, idx: 77)--n137(idx: 94);
50.--DFF_4_N3(val: 1, idx: 53)--n149(val: 0, idx: 57)--n132(idx: 90);
51.--DFF_8_N3(val: 1, idx: 69)--n141(val: 1, idx: 68)--DFF_13_N3(idx: 79);
52.--DFF_6_N3(val: 1, idx: 44)--n150(val: 0, idx: 55)--n117(idx: 74);
53.--DFF_10_N3(val: 1, idx: 60)--n161(val: 0, idx: 49)--n120(idx: 81);
54.--n154(val: 0, idx: 31)--n157(val: 0, idx: 41)--n106(idx: 50);
55.--n152(val: 1, idx: 59)--n156(val: 1, idx: 35)--n137(idx: 94);
56.--n154(val: 0, idx: 31)--n160(val: 1, idx: 43)--n105(idx: 46);
57.--n150(val: 0, idx: 55)--n160(val: 1, idx: 43)--n140(idx: 72);
58.--n158(val: 0, idx: 39)--n168(val: 0, idx: 33)--n160(idx: 43);
59.--n141(val: 1, idx: 68)--n143(val: 0, idx: 73)--n137(idx: 94);
60.--DFF_10_N3(val: 1, idx: 60)--n160(val: 1, idx: 43)--n127(idx: 87);
61.--DFF_14_N3(val: 1, idx: 75)--n144(val: 1, idx: 77)--DFF_12_N3(idx: 82);
62.--n150(val: 0, idx: 55)--n152(val: 1, idx: 59)--n140(idx: 72);
63.--DFF_12_N3(val: 1, idx: 82)--n150(val: 0, idx: 55)--n134(idx: 92);
64.--n148(val: 1, idx: 51)--n168(val: 0, idx: 33)--n141(idx: 68);
65.--DFF_4_N3(val: 1, idx: 53)--n160(val: 1, idx: 43)--n141(idx: 68);
66.--DFF_6_N3(val: 1, idx: 44)--n145(val: 0, idx: 80)--n136(idx: 93);
67.--DFF_8_N3(val: 1, idx: 69)--n149(val: 0, idx: 57)--Z(idx: 95);
